tx_index,buy_date,trader,stock,code,industry,amount_w,buy_price_est,shares_est,remaining,realized_shares,realized_proceeds,first_sell_date,last_sell_date,window,source_quality,return_confidence,source_image,note,realized_exit_price_est,realized_return_pct,open_shares_est,end_close,unrealized_return_pct,blended_return_pct,holding_calendar_days_to_first_sell,status
119,2026-07-27,成都系,雅克科技,002409,C26化学原料和化学制品制造业,15900.0,163.7194574053452,971173.5093669379,971173.5093669379,0.0,0.0,,,单日,verified,中,15.jpg,,,,971173.5093669379,151.22,-0.07634680448762043,-0.07634680448762055,,持有至截止日
126,2026-07-27,低位挖掘,宿迁联盛,603065,C26化学原料和化学制品制造业,1815.0,14.72065039819117,1232961.8263490736,0.0,1232961.8263490736,19454363.08469421,2026-07-28,2026-07-28,单日,verified,中,15.jpg,,15.778560754229169,0.07186573469389579,0.0,16.05,0.09030508611033783,0.07186573469389579,1.0,已全部卖出
116,2026-07-27,江苏路,风华高科,000636,C39计算机、通信和其他电子设备制造业,9768.0,43.18721743336576,2261780.3555117208,2261780.3555117208,0.0,0.0,,,单日,verified,中,15.jpg,,,,2261780.3555117208,62.73,0.45251312142967093,0.45251312142967093,,持有至截止日
118,2026-07-27,成都系,风华高科,000636,C39计算机、通信和其他电子设备制造业,17800.0,43.18721743336576,4121589.91893004,4121589.91893004,0.0,0.0,,,单日,verified,中,15.jpg,,,,4121589.91893004,62.73,0.45251312142967093,0.45251312142967093,,持有至截止日
104,2026-07-27,作手新一,狮头股份,600539,F52零售业,3739.0,18.292636643757984,2043991.8382546909,193162.71968214423,1850829.1185725466,30680000.0,2026-07-28,2026-07-28,单日,verified,中,15.jpg,,16.57635472239705,-0.09382364908814733,193162.71968214423,14.23,-0.2220913651146228,-0.105945292830251,1.0,部分卖出
106,2026-07-27,葛卫东,哈药股份,600664,C27医药制造业,6159.0,5.528085333108819,11141289.666989231,0.0,11141289.666989231,61590000.00000001,2026-07-27,2026-07-27,单日,verified,中,15.jpg,,5.528085333108819,0.0,0.0,8.91,0.6117696206019492,0.0,0.0,已全部卖出
109,2026-07-27,紫阳东路,雅克科技,002409,C26化学原料和化学制品制造业,20800.0,163.7194574053452,1270465.9745177552,1270465.9745177552,0.0,0.0,,,单日,verified,中,15.jpg,,,,1270465.9745177552,151.22,-0.07634680448762043,-0.07634680448762043,,持有至截止日
111,2026-07-27,紫阳东路,贤丰控股,002141,C38电气机械和器材制造业,4553.0,5.500150412102808,8277955.435511998,0.0,8277955.435511998,48381433.75505087,2026-07-30,2026-07-30,单日,verified,中,15.jpg,,5.84461152659714,0.0626275808269463,0.0,6.48,0.17814959855299262,0.0626275808269463,3.0,已全部卖出
114,2026-07-27,江苏路,中船特气,688146,C39计算机、通信和其他电子设备制造业,19600.0,271.20406698134326,722703.0264759389,722703.0264759389,0.0,0.0,,,单日,verified,中,15.jpg,,,,722703.0264759389,300.96,0.10971787167448221,0.10971787167448221,,持有至截止日
115,2026-07-27,江苏路,多氟多,002407,C26化学原料和化学制品制造业,7684.0,31.5771644761196,2433404.052416127,0.0,2433404.052416127,83605257.65429057,2026-07-28,2026-07-28,单日,verified,中,15.jpg,,34.35732654890539,0.08804343641710788,0.0,39.16,0.24013668262123278,0.08804343641710788,1.0,已全部卖出
110,2026-07-27,紫阳东路,江海股份,002484,C39计算机、通信和其他电子设备制造业,13800.0,67.07692228736256,2057339.4737581676,2057339.4737581676,0.0,0.0,,,单日,verified,中,15.jpg,,,,2057339.4737581676,69.79,0.04044725995349663,0.04044725995349663,,持有至截止日
151,2026-07-28,低位挖掘,矩子科技,300802,C39计算机、通信和其他电子设备制造业,3628.0,22.833294352283794,1588907.8220712931,1588907.8220712931,0.0,0.0,,,单日,verified,中,14.jpg,,,,1588907.8220712931,23.18,0.015184214873555035,0.015184214873555035,,持有至截止日
152,2026-07-28,低位挖掘,金桥信息,603918,I65软件和信息技术服务业,1039.0,10.172196626821712,1021411.6361655841,1021411.6361655841,0.0,0.0,,,单日,verified,中,14.jpg,,,,1021411.6361655841,11.3,0.11087117311560157,0.1108711731156018,,持有至截止日
149,2026-07-28,欢乐海岸,景旺电子,603228,C39计算机、通信和其他电子设备制造业,5968.0,75.78488724741716,787492.0999111728,787492.0999111728,0.0,0.0,,,单日,verified,中,14.jpg,,,,787492.0999111728,98.01,0.29326576260546333,0.2932657626054631,,持有至截止日
156,2026-07-28,温州帮,塞力医疗,603716,F51批发业,1899.0,16.100658941056466,1179454.8328438753,1179454.8328438753,0.0,0.0,,,单日,verified,中,14.jpg,按上市公司规范名纠正,,,1179454.8328438753,17.35,0.0775956477009605,0.07759564770096028,,持有至截止日
157,2026-07-28,温州帮,必贝特,688759,C27医药制造业,1427.0,23.94271350807407,596005.9621140187,596005.9621140187,0.0,0.0,,,单日,verified,中,14.jpg,,,,596005.9621140187,28.16,0.1761407072971808,0.17614070729718057,,持有至截止日
159,2026-07-28,独股一剑,东方新能,002310,D44电力、热力生产和供应业,1606.0,2.5984070270599484,6180709.885999503,6180709.885999503,0.0,0.0,,,单日,verified,中,14.jpg,,,,6180709.885999503,2.45,-0.05711461888550551,-0.0571146188855054,,持有至截止日
160,2026-07-28,落升,ST荣科,300290,I65软件和信息技术服务业,547.0,4.68236632398813,1168212.7414885848,1168212.7414885848,0.0,0.0,,,单日,verified,中,14.jpg,,,,1168212.7414885848,6.06,0.29421740647547034,0.29421740647547034,,持有至截止日
155,2026-07-28,炒股养家,嘉美包装,002969,C33金属制品业,3881.0,12.41027066038836,3127248.475238775,0.0,3127248.475238775,38819273.328043155,2026-07-29,2026-07-29,单日,verified,中,14.jpg,,12.41323599177043,0.00023894171716443147,0.0,14.02,0.12970944660777173,0.00023894171716443147,1.0,已全部卖出
148,2026-07-28,成都系,科蓝软件,300663,I65软件和信息技术服务业,2303.0,8.590735065667271,2680795.0453552003,2680795.0453552003,0.0,0.0,,,单日,verified,中,14.jpg,,,,2680795.0453552003,9.06,0.054624538033787085,0.05462453803378686,,持有至截止日
147,2026-07-28,成都系,岩山科技,002195,I64互联网和相关服务,17800.0,6.629695595255546,26848894.86138449,26848894.86138449,0.0,0.0,,,单日,verified,中,14.jpg,,,,26848894.86138449,6.77,0.02116302366052225,0.02116302366052225,,持有至截止日
133,2026-07-28,作手新一,波长光电,301421,C40仪器仪表制造业,24400.0,82.12000007979347,2971261.5655493513,0.0,2971261.5655493513,220883121.09454128,2026-07-29,2026-07-29,单日,verified,中,14.jpg,,74.33984394224902,-0.09474130698958494,0.0,80.58,-0.01875304527882493,-0.09474130698958494,1.0,已全部卖出
135,2026-07-28,江苏路,兴业科技,002674,C19皮革、毛皮、羽毛及其制品和制鞋业,1334.0,24.233062830979616,550487.5753033622,550487.5753033622,0.0,0.0,,,单日,verified,中,14.jpg,,,,550487.5753033622,29.62,0.22229700003640107,0.22229700003640107,,持有至截止日
136,2026-07-28,江苏路,华之杰,603400,C34通用设备制造业,893.0,39.94042100880624,223583.02127138505,3116.858327455586,220466.16294392946,9960000.0,2026-07-29,2026-07-29,单日,verified,中,14.jpg,,45.17700071068547,0.13110977725359096,3116.858327455586,42.98,0.07610282802285884,0.13034295306988142,1.0,部分卖出
138,2026-07-28,江苏路,科蓝软件,300663,I65软件和信息技术服务业,2619.0,8.590735065667271,3048633.184448662,3048633.184448662,0.0,0.0,,,单日,verified,中,14.jpg,,,,3048633.184448662,9.06,0.054624538033787085,0.054624538033787085,,持有至截止日
139,2026-07-28,江苏路,海南海药,000566,C27医药制造业,2875.0,5.742726096320889,5006333.145231993,5006333.145231993,0.0,0.0,,,单日,verified,中,14.jpg,,,,5006333.145231993,5.45,-0.050973368990804846,-0.05097336899080496,,持有至截止日
137,2026-07-28,江苏路,爱朋医疗,300753,C35专用设备制造业,2431.0,24.793731610281338,980489.7617718526,67503.27510132117,912986.4866705314,21660000.0,2026-07-29,2026-07-29,单日,verified,中,14.jpg,,23.724338000871665,-0.043131611901704336,67503.27510132117,24.41,-0.0154769607218872,-0.041227686333885294,1.0,部分卖出
142,2026-07-28,紫阳东路,海南海药,000566,C27医药制造业,7903.0,5.222091873294056,15133782.001071626,0.0,15133782.001071626,87277801.82481892,2026-07-31,2026-07-31,3日,verified,低,14.jpg,3日榜单无法定位逐笔成交日，收益为区间VWAP估算,5.767084646695635,0.10436292325469987,0.0,5.45,0.0436430710596023,0.10436292325469987,3.0,已全部卖出
144,2026-07-28,中山东路,中际旭创,300308,C39计算机、通信和其他电子设备制造业,66200.0,953.7031606990666,694136.3175463867,694136.3175463867,0.0,0.0,,,单日,verified,中,14.jpg,,,,694136.3175463867,943.0,-0.01122273799661233,-0.01122273799661222,,持有至截止日
145,2026-07-28,中山东路,共进股份,603118,C39计算机、通信和其他电子设备制造业,10100.0,16.985644486508416,5946197.689479703,5946197.689479703,0.0,0.0,,,单日,verified,中,14.jpg,,,,5946197.689479703,17.56,0.03381417254716412,0.03381417254716412,,持有至截止日
