stock,code,canonical_name,industry,updateDate
金螳螂,002081,金 螳 螂,E50建筑装饰、装修和其他建筑业,2026-08-10
金达莱,688057,金达莱,N77生态保护和环境治理业,2026-08-10
长城电工,600192,长城电工,C38电气机械和器材制造业,2026-08-10
长城科技,603897,长城科技,C38电气机械和器材制造业,2026-08-10
长源东谷,603950,长源东谷,C36汽车制造业,2026-08-10
长缆科技,002879,长缆科技,C38电气机械和器材制造业,2026-08-10
长裕集团,603407,长裕集团,C26化学原料和化学制品制造业,2026-08-10
长进光子,688635,长进光子,C39计算机、通信和其他电子设备制造业,2026-08-10
长飞光纤,601869,长飞光纤,C39计算机、通信和其他电子设备制造业,2026-08-10
陇神戎发,300534,陇神戎发,C27医药制造业,2026-08-10
雅克科技,002409,雅克科技,C26化学原料和化学制品制造业,2026-08-10
青云科技,688316,青云科技,I64互联网和相关服务,2026-08-10
韶能股份,000601,韶能股份,D44电力、热力生产和供应业,2026-08-10
风华高科,000636,风华高科,C39计算机、通信和其他电子设备制造业,2026-08-10
风范股份,601700,风范股份,C33金属制品业,2026-08-10
香江控股,600162,香江控股,K70房地产业,2026-08-10
高争民爆,002827,高争民爆,C26化学原料和化学制品制造业,2026-08-10
魅视科技,001229,魅视科技,C39计算机、通信和其他电子设备制造业,2026-08-10
鸿博股份,002229,鸿博股份,C23印刷和记录媒介复制业,2026-08-10
麦格米特,002851,麦格米特,C38电气机械和器材制造业,2026-08-10
龙旗科技,603341,龙旗科技,C39计算机、通信和其他电子设备制造业,2026-08-10
龙鑫智能,920117,龙鑫智能,未分类,
